,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,monthlycharges_range,tenure_range
0,Female,0,Yes,No,1,No,No,Yes,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.850000381469727,2090.0805,No,21 - 40,1 - 12
1,Male,0,No,No,34,Yes,No,Yes,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95000076293945,10808090.05,No,41 - 60,25 - 36
2,Male,0,No,No,2,Yes,No,Yes,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.84999847412109,100080.0105,Yes,41 - 60,1 - 12
3,Male,0,No,No,45,No,No,Yes,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.29999923706055,10804000.0705,No,41 - 60,37 - 48
4,Female,0,No,No,2,Yes,No,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.69999694824219,105010.0604090909,Yes,61 - 80,1 - 12
5,Female,0,No,No,8,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.6500015258789,802000.05,Yes,101 - 120,1 - 12
6,Male,0,No,Yes,22,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.0999984741211,10904090.040000001,No,81 - 100,13 - 24
7,Female,0,No,No,10,No,No,Yes,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,300010.08090909093,No,21 - 40,1 - 12
8,Female,0,Yes,No,28,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8000030517578,30004060.0005,Yes,101 - 120,25 - 36
9,Male,0,No,Yes,62,Yes,No,Yes,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.150001525878906,30408070.09040909,No,41 - 60,61 - 72
10,Male,0,Yes,Yes,13,Yes,No,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95000076293945,508070.0405000001,No,41 - 60,13 - 24
11,Male,0,No,No,16,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),18.950000762939453,302060.0709090908,No,1 - 20,13 - 24
12,Male,0,Yes,No,58,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.3499984741211,50608010.01,No,101 - 120,49 - 60
13,Male,0,No,No,49,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.6999969482422,50003060.02090908,Yes,101 - 120,49 - 60
14,Male,0,No,No,25,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,20608060.0005,No,101 - 120,25 - 36
15,Female,0,Yes,Yes,69,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,70809050.01040909,No,101 - 120,61 - 72
16,Female,0,No,No,52,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.649999618530277,10002020.0905,No,21 - 40,49 - 60
17,Male,0,No,Yes,71,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.6999969482422,70308020.0205,No,101 - 120,61 - 72
18,Female,0,Yes,Yes,10,Yes,No,Yes,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.20000076293945,502080.0304090907,Yes,41 - 60,1 - 12
19,Female,0,No,No,21,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05000305175781,10806020.09,No,81 - 100,13 - 24
20,Male,1,No,No,1,No,No,Yes,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.650001525878906,3090.060500000001,Yes,41 - 60,1 - 12
21,Male,0,Yes,No,12,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),19.799999237060547,200020.0205,No,1 - 20,1 - 12
22,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.149999618530277,2000.010409090909,Yes,21 - 40,1 - 12
23,Female,0,Yes,No,58,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.900001525878906,30500050.01,No,61 - 80,49 - 60
24,Male,0,Yes,Yes,49,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.59999847412109,20907000.03,No,61 - 80,49 - 60
25,Female,0,No,No,30,Yes,No,Yes,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.29999923706055,10503000.05090909,No,41 - 60,25 - 36
26,Male,0,Yes,Yes,47,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.3499984741211,40704090.01040909,Yes,101 - 120,37 - 48
27,Male,0,Yes,Yes,1,No,No,Yes,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.200000762939453,3000.02,Yes,21 - 40,1 - 12
28,Male,0,Yes,No,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,60306090.04050001,No,81 - 100,61 - 72
29,Female,0,No,Yes,17,Yes,No,Yes,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.69999694824219,10009030.00090909,Yes,61 - 80,13 - 24
30,Female,1,Yes,No,71,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.3499984741211,60706060.09050001,No,101 - 120,61 - 72
31,Male,1,Yes,No,2,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,108010.0604090909,No,81 - 100,1 - 12
32,Female,0,Yes,Yes,27,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.1500015258789,10807040.04040909,No,61 - 80,25 - 36
33,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),20.200000762939453,2000.02,No,21 - 40,1 - 12
34,Male,1,No,No,1,Yes,No,Yes,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,4050.0205,No,41 - 60,1 - 12
35,Female,0,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9000015258789,70205010.07000001,No,101 - 120,61 - 72
36,Male,0,No,No,5,Yes,No,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.69999694824219,301060.08090909093,Yes,61 - 80,1 - 12
37,Female,0,No,No,46,Yes,No,Yes,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.80000305175781,30504080.03,No,61 - 80,37 - 48
38,Male,0,No,No,34,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.3499984741211,30504090.0205,Yes,101 - 120,25 - 36
39,Female,0,No,No,11,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.8499984741211,10100050.040000001,Yes,101 - 120,1 - 12
40,Male,0,Yes,Yes,10,Yes,No,Yes,No,Yes,No,No,No,No,One year,No,Mailed check,49.54999923706055,407050.0700000001,No,41 - 60,1 - 12
41,Female,0,Yes,Yes,70,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.19999694824219,40807020.0305,No,61 - 80,61 - 72
42,Female,0,Yes,Yes,17,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.75,401080.0205,No,21 - 40,13 - 24
43,Female,0,No,No,63,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.8499984741211,40806010.04050001,No,81 - 100,61 - 72
44,Female,0,Yes,No,13,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.19999694824219,908010.0405000001,No,61 - 80,13 - 24
45,Female,0,No,No,49,Yes,Yes,Yes,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,30900060.06090909,No,81 - 100,49 - 60
46,Male,0,No,No,2,Yes,No,Yes,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,9070.0,No,41 - 60,1 - 12
47,Female,0,No,No,2,Yes,No,Yes,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.6500015258789,104040.0104090909,Yes,81 - 100,1 - 12
48,Male,0,No,No,52,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,40201070.07090908,No,81 - 100,49 - 60
49,Female,0,Yes,Yes,69,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.1500015258789,40205040.01,No,61 - 80,61 - 72
50,Female,1,No,No,43,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,30803080.0705,No,81 - 100,37 - 48
51,Female,0,No,No,15,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.0999984741211,10402060.040000001,Yes,101 - 120,13 - 24
52,Female,1,Yes,No,25,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,10705020.0605,No,61 - 80,25 - 36
53,Female,1,Yes,No,8,Yes,Yes,Yes,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.6500015258789,603030.0209090908,Yes,81 - 100,1 - 12
54,Female,1,Yes,Yes,60,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.8499984741211,40405060.0305,No,61 - 80,49 - 60
55,Male,1,No,No,18,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.4499969482422,10705020.0505,Yes,81 - 100,13 - 24
56,Female,0,Yes,Yes,63,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.6500015258789,60301010.02000001,No,101 - 120,61 - 72
57,Male,1,Yes,Yes,66,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.4499969482422,70007060.0305,No,101 - 120,61 - 72
58,Female,0,Yes,Yes,34,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),24.950000762939453,809040.0209090908,No,21 - 40,25 - 36
59,Female,0,No,No,72,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,70805030.07000001,No,101 - 120,61 - 72
60,Female,0,Yes,No,47,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,40700070.01,No,101 - 120,37 - 48
61,Male,0,No,No,60,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9000015258789,50405000.07000001,No,81 - 100,49 - 60
62,Male,0,Yes,No,72,No,No,Yes,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.09999847412109,20906020.0,No,41 - 60,61 - 72
63,Female,0,Yes,Yes,18,Yes,No,Yes,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.400001525878906,905070.0009090907,No,41 - 60,13 - 24
